word	nodeType	unit
different	ADJ	ATE1
more	ADJ	ATE1
explosive	ADJ	ATE1
explosive	ADJ	ATE1
giant	ADJ	ATE1
good	ADJ	ATE1
dead	ADJ	ATE1
young	ADJ	ATE1
healthy	ADJ	ATE1
tough	ADJ	ATE1
wrong	ADJ	ATE1
giant	ADJ	ATE1
whole	ADJ	ATE1
wrong	ADJ	ATE1
dead	ADJ	ATE1
incomplete	ADJ	ATE1
bad	ADJ	ATE1
good	ADJ	ATE1
large	ADJ	ATE1
sweet	ADJ	ATE1
hot	ADJ	ATE1
hot	ADJ	ATE1
bad	ADJ	ATE1
present	ADJ	ATE1
welcome	ADJ	ATE1
momentous	ADJ	ATE1
large	ADJ	ATE1
scared	ADJ	ATE1
important	ADJ	ATE1
sure	ADJ	ATE1
ignorant	ADJ	ATE1
least	ADJ	ATE1
ok	ADJ	ATE1
deep	ADJ	ATE1
saucy	ADJ	ATE1
alright	ADJ	ATE1
great	ADJ	ATE1
alone	ADJ	ATE1
cute	ADJ	ATE1
old	ADJ	ATE1
dead	ADJ	ATE1
bad	ADJ	ATE1
crazy	ADJ	ATE1
super	ADJ	ATE1
easy	ADJ	ATE1
cool	ADJ	ATE1
first	ADJ	ATE1
scared	ADJ	ATE1
main	ADJ	ATE1
permanent	ADJ	ATE1
convenient	ADJ	ATE1
great	ADJ	ATE1
new	ADJ	ATE1
blindfolded	ADJ	ATE1
tasty	ADJ	ATE1
improbable	ADJ	ATE1
dead	ADJ	ATE1
unaffected	ADJ	ATE1
dead	ADJ	ATE1
big	ADJ	ATE1
bad	ADJ	ATE1
stupid	ADJ	ATE1
hot	ADJ	ATE1
terrible	ADJ	ATE1
complicated	ADJ	ATE1
well	ADJ	ATE1
right	ADJ	ATE1
correct	ADJ	ATE1
royal	ADJ	ATE1
good	ADJ	ATE1
simple	ADJ	ATE1
smart	ADJ	ATE1
welcome	ADJ	ATE1
last	ADJ	ATE1
sweet	ADJ	ATE1
more	ADJ	ATE1
former	ADJ	ATE1
dead	ADJ	ATE1
nuts	ADJ	ATE1
royal	ADJ	ATE1
full	ADJ	ATE1
awake	ADJ	ATE1
adorable	ADJ	ATE1
delicious	ADJ	ATE1
delicious	ADJ	ATE1
high	ADJ	ATE3
giant	ADJ	ATE3
big	ADJ	ATE3
holy	ADJ	ATE3
big	ADJ	ATE3
front	ADJ	ATE3
hot	ADJ	ATE3
sexy	ADJ	ATE3
hot	ADJ	ATE3
sexy	ADJ	ATE3
hot	ADJ	ATE3
small	ADJ	ATE3
cool	ADJ	ATE3
cool	ADJ	ATE3
angry	ADJ	ATE3
sure	ADJ	ATE3
plastic	ADJ	ATE3
captive	ADJ	ATE3
okay	ADJ	ATE3
first	ADJ	ATE3
sure	ADJ	ATE3
right	ADJ	ATE3
young	ADJ	ATE3
serious	ADJ	ATE3
sweet	ADJ	ATE3
worried	ADJ	ATE3
nuts	ADJ	ATE3
sad	ADJ	ATE3
little	ADJ	ATE3
okay	ADJ	ATE3
free	ADJ	ATE3
fine	ADJ	ATE3
sorry	ADJ	ATE3
alright	ADJ	ATE3
favorite	ADJ	ATE3
quirky	ADJ	ATE3
little	ADJ	ATE3
possible	ADJ	ATE3
bored	ADJ	ATE3
last	ADJ	ATE3
fun	ADJ	ATE3
lame	ADJ	ATE3
other	ADJ	ATE3
same	ADJ	ATE3
middle	ADJ	ATE3
electric	ADJ	ATE3
dear	ADJ	ATE3
much	ADJ	ATE3
fun	ADJ	ATE3
fun	ADJ	ATE3
more	ADJ	ATE3
fun	ADJ	ATE3
right	ADJ	ATE3
good	ADJ	ATE3
good	ADJ	ATE3
fun	ADJ	ATE3
fun	ADJ	ATE3
good	ADJ	ATE3
fun	ADJ	ATE3
fun	ADJ	ATE3
good	ADJ	ATE3
entire	ADJ	ATE3
fun	ADJ	ATE3
simple	ADJ	ATE3
more	ADJ	ATE3
free	ADJ	ATE3
wrong	ADJ	ATE3
potential	ADJ	ATE3
naked	ADJ	ATE3
magic	ADJ	ATE3
shaggy	ADJ	ATE3
hard	ADJ	ATE3
good	ADJ	ATE3
wrong	ADJ	ATE3
big	ADJ	ATE3
cool	ADJ	ATE3
star	ADJ	ATE3
ticklish	ADJ	ATE3
welcome	ADJ	ATE3
gross	ADJ	ATE3
sorry	ADJ	ATE3
big	ADJ	ATE2
more	ADJ	ATE2
hard	ADJ	ATE2
easy	ADJ	ATE2
big	ADJ	ATE2
muffled	ADJ	ATE2
new	ADJ	ATE2
ominous	ADJ	ATE2
early	ADJ	ATE2
serious	ADJ	ATE2
y'know	ADJ	ATE2
lumpy	ADJ	ATE2
freakin	ADJ	ATE2
royal	ADJ	ATE2
lumpy	ADJ	ATE2
drunk	ADJ	ATE2
much	ADJ	ATE2
good	ADJ	ATE2
non	ADJ	ATE2
-	ADJ	ATE2
lumpers	ADJ	ATE2
fine	ADJ	ATE2
lumpy	ADJ	ATE2
lame	ADJ	ATE2
lame	ADJ	ATE2
close	ADJ	ATE2
smooth	ADJ	ATE2
last	ADJ	ATE2
royal	ADJ	ATE2
sorry	ADJ	ATE2
horrible	ADJ	ATE2
weekly	ADJ	ATE2
weekly	ADJ	ATE2
awesome	ADJ	ATE2
hot	ADJ	ATE2
baaaaad	ADJ	ATE2
normal	ADJ	ATE2
sheer	ADJ	ATE2
electronic	ADJ	ATE2
right	ADJ	ATE2
lumpy	ADJ	ATE2
normal	ADJ	ATE2
gracious	ADJ	ATE2
terrible	ADJ	ATE2
lumpy	ADJ	ATE2
nice	ADJ	ATE2
shady	ADJ	ATE2
lumpy	ADJ	ATE2
hard	ADJ	ATE2
romantic	ADJ	ATE2
notorious	ADJ	ATE2
smooth	ADJ	ATE2
more	ADJ	ATE2
lumpy	ADJ	ATE2
smooth	ADJ	ATE2
smooth	ADJ	ATE2
good	ADJ	ATE2
up	ADJ	ATE2
lumpy	ADJ	ATE2
smooth	ADJ	ATE2
sure	ADJ	ATE2
lumpy	ADJ	ATE2
smooth	ADJ	ATE2
rude	ADJ	ATE2
right	ADJ	ATE2
welcome	ADJ	ATE2
mad	ADJ	ATE2
lumpy	ADJ	ATE2
fake	ADJ	ATE2
lumpy	ADJ	ATE2
plaintive	ADJ	ATE2
directionless	ADJ	ATE2
eternal	ADJ	ATE2
lumpy	ADJ	ATE2
dangerous	ADJ	ATE2
good	ADJ	ATE2
lumpy	ADJ	ATE2
multiple	ADJ	ATE2
insane	ADJ	ATE2
lumpy	ADJ	ATE2
good	ADJ	ATE2
wannabe	ADJ	ATE2
lumpy	ADJ	ATE2
lumpy	ADJ	ATE2
lumpy	ADJ	ATE2
good	ADJ	ATE2
dumb	ADJ	ATE2
right	ADJ	ATE2
bad	ADJ	ATE2
normal	ADJ	ATE2
lumpy	ADJ	ATE2
smooth	ADJ	ATE2
muscular	ADJ	ATE2
lumpy	ADJ	ATE2
cold	ADJ	ATE2
sorry	ADJ	ATE2
fine	ADJ	ATE2
last	ADJ	ATE2
good	ADJ	ATE2
lumpy	ADJ	ATE2
lame	ADJ	ATE2
normal	ADJ	ATE2
unknown	ADJ	ATE6
little	ADJ	ATE6
little	ADJ	ATE6
little	ADJ	ATE6
small	ADJ	ATE6
safe	ADJ	ATE6
adorable	ADJ	ATE6
more	ADJ	ATE6
good	ADJ	ATE6
fine	ADJ	ATE6
jiggly	ADJ	ATE6
good	ADJ	ATE6
little	ADJ	ATE6
sweet	ADJ	ATE6
little	ADJ	ATE6
new	ADJ	ATE6
cool	ADJ	ATE6
more	ADJ	ATE6
tired	ADJ	ATE6
comfy	ADJ	ATE6
ready	ADJ	ATE6
ok	ADJ	ATE6
little	ADJ	ATE6
ready	ADJ	ATE6
loose	ADJ	ATE6
limp	ADJ	ATE6
weird	ADJ	ATE6
extraordinary	ADJ	ATE6
doooowwwn	ADJ	ATE6
purple	ADJ	ATE6
strange	ADJ	ATE6
good	ADJ	ATE6
pink	ADJ	ATE6
wrong	ADJ	ATE6
purple	ADJ	ATE6
hot	ADJ	ATE6
favorite	ADJ	ATE6
awesome	ADJ	ATE6
bad	ADJ	ATE6
